line,name,code,lat,lng
경의선,수색,1267,37.580842,126.895611
06호선,디지털미디어시티,2619,37.576646,126.900984
경의선,디지털미디어시티,1266,37.576646,126.900984
공항철도,디지털미디어시티,4204,37.576646,126.900984
06호선,마포구청,2621,37.563515,126.903343
06호선,망원,2622,37.556094,126.910052
06호선,합정,2623,37.549463,126.913739
02호선,합정,238,37.549463,126.913739
경의선,가좌,1265,37.568491,126.915487
02호선,홍대입구,239,37.557192,126.925381
경의선,홍대입구,1264,37.557192,126.925381
경의선,서강대,1263,37.551881,126.935711
06호선,상수,2624,37.547716,126.922852
06호선,광흥창,2625,37.547456,126.931993
06호선,대흥,2626,37.547771,126.942069
06호선,공덕,2627,37.544018,126.951592
경의선,공덕,1262,37.544018,126.951592
공항철도,공덕,4202,37.544018,126.951592
05호선,공덕,2530,37.544018,126.951592
05호선,애오개,2531,37.553736,126.95682
05호선,마포,2529,37.539574,126.945932
02호선,신촌,240,37.555134,126.936893
02호선,이대,241,37.556733,126.946013
02호선,아현,242,37.557345,126.956141
