SAFETY_SORT,SAFETY_GUBUN,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_PNU,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 백범로,11440,,,14130396.55,4516953.481
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 증산로,11440,,,14126908.36,4520075.527
disaster,재난안전,상습결빙구간,급커브,서울특별시 마포구 내부순환로,11440,,,14126164.04,4517637.383
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 성산로,11440,,,14125921.38,4517509.817
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 모래내로,11440,,,14128118.41,4518456.954
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 만리재로,11440,,,14131941.15,4515098.16
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 월드컵북로,11440,,,14127083.57,4518614.755
disaster,재난안전,상습결빙구간,급경사,서울특별시 마포구 강변북로,11440,,,14124679.4,4518059.296
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 서강대교,11440,,,14129367.41,4515189.39
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 모래내로,11440,,,14128006.64,4518305.489
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 토정로,11440,,,14127630.6,4515457.272
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 양화대교,11440,,,14126438.04,4514490.233
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 백범로,11440,,,14131941.15,4515098.16
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 백범로,11440,,,14130637.45,4516227.401
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 증산로,11440,,,14126442.38,4519514.111
disaster,재난안전,상습결빙구간,급커브,서울특별시 마포구 내부순환로,11440,,,14126159.85,4516549.369
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 성산로,11440,,,14126471.32,4517708.287
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 모래내로,11440,,,14128403.16,4518758.486
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 만리재로,11440,,,14132184.57,4515366.152
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 월드컵북로,11440,,,14126985.64,4518682.674
disaster,재난안전,상습결빙구간,급경사,서울특별시 마포구 강변북로,11440,,,14125162.77,4517648.991
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 서강대교,11440,,,14129643.26,4515055.03
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 모래내로,11440,,,14128685.71,4518403.713
disaster,재난안전,상습결빙구간,지하차도,서울특별시 마포구 토정로,11440,,,14127736.8,4515448.848
disaster,재난안전,상습결빙구간,고가도로,서울특별시 마포구 양화대교,11440,,,14126215.62,4514617.425
disaster,재난안전,상습결빙구간,고갯길,서울특별시 마포구 백범로,11440,,,14132704.13,4514895.794
